"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Vietnamese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Comments>";"<max_chars>"
"item/warpoints_trophy_for_chronicle";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"Случайное количество 50000 - 120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000 - 120000 \t€";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"50000-120000 €";"Выпадковая колькасць 50 000-120 000 €";"50000-120000 €";"50000-120000 €";"50000-120000 \t€";;
"item/discount_trophy_for_chronicle";"10-50% discount on premium vehicles";"10-50% de remise sur des véhicules premium";"10-50% di sconto su veicoli premium";"10-50% Rabatt auf Premium-Fahrzeuge";"10-50% discount on premium vehicles";"Случайная скидка 10-50% на премиумную технику";"10-50% discount on premium vehicles";"10 - 50% sleva na prémiové stroje";"Premium araçlarda %10-50 indirim";"10% - 50% \t高\t级\t载\t具\t折\t扣";"10-50% discount on premium vehicles";"10-50% discount on premium vehicles";"10-50% discount on premium vehicles";"10-50% discount on premium vehicles";"10-50% popust na premijum vozila";"10-50% kedvezmény prémium járművekre";"프리미엄 장비 10-50% 할인";"Выпадковая зніжка 10-50% на прэміюмную тэхніку";"10-50% discount on premium vehicles";"10-50% discount on premium vehicles";"10-50% discount on premium vehicles";;
"item/chronicle_win_trophy";"Victor’s Trophy";"Trophée du Vainqueur";"Trofeo del Vincitore";"Sieger-Trophäe";"Victor’s Trophy";"Трофей Победителя";"Victor’s Trophy";"Vítězná kořist";"Galip'in Ganimeti";"胜\t利\t者\t作\t战\t物\t资";"Victor’s Trophy";"Victor’s Trophy";"Victor’s Trophy";"Victor’s Trophy";"Pobednički Trofej";"Győztesek hadizsákmánya";"승리자 트로피";"Трафей пераможцы";"Victor’s Trophy";"Victor’s Trophy";"Victor\t’\ts Trophy";;
"item/chronicle_win_trophy_final";"Victor’s Trophy";"Trophée du Vainqueur";"Victor’s Trophy";"Sieger-Trophäe";"Victor’s Trophy";"Трофей Победителя";"Victor’s Trophy";"Victor’s Trophy";"Galip'in Ganimeti";"胜\t利\t者\t作\t战\t物\t资";"Victor’s Trophy";"Victor’s Trophy";"Victor’s Trophy";"Victor’s Trophy";"Pobednički Trofej";"Victor’s Trophy";"승리자 트로피";"Трафей пераможцы";"Victor’s Trophy";"Victor’s Trophy";"Victor\t’\ts Trophy";;
"trophy/chronicle_win_trophy";"Victor’s Trophy";"Trophée du Vainqueur";"Victor’s Trophy";"Sieger-Trophäe";"Victor’s Trophy";"Трофей Победителя";"Victor’s Trophy";"Victor’s Trophy";"Victor'un kupası";"胜\t利\t者\t作\t战\t物\t资";"Victor’s Trophy";"Victor’s Trophy";"Victor’s Trophy";"Victor’s Trophy";"Pobednički Trofej";"Victor’s Trophy";"승리자 트로피";"Трафей пераможцы";"Victor’s Trophy";"Victor’s Trophy";"Victor\t’\ts Trophy";;
"trophy/chronicle_win_trophy_final";"Victor’s Trophy";"Trophée du Vainqueur";"Victor’s Trophy";"Sieger-Trophäe";"Victor’s Trophy";"Трофей Победителя";"Victor’s Trophy";"Victor’s Trophy";"Victor'un kupası";"胜\t利\t者\t作\t战\t物\t资";"Victor’s Trophy";"Victor’s Trophy";"Victor’s Trophy";"Victor’s Trophy";"Pobednički Trofej";"Victor’s Trophy";"승리자 트로피";"Трафей пераможцы";"Victor’s Trophy";"Victor’s Trophy";"Victor\t’\ts Trophy";;
"trophy/black_flag_trophy_2016";"Treasure chest";"Coffre au trésor";"Scrigno del tesoro";"Schatzkiste";"Treasure chest";"Сундук с сокровищами";"Skrzynia skarbów";"Bedna s pokladem";"Hazine sandığı";"宝\t藏\t箱";"Treasure chest";"Treasure chest";"Treasure chest";"Treasure chest";"Kovčeg sa blagom";"Kincsesláda";"보물상자";"Скрыня са скарбам";"Treasure chest";"Treasure chest";"Treasure chest";;
"trophy/ussr_bm_8_24_rented_trophy";"Rented BM-8-24";"BM-8-24 loué";"BM-8-24 in affitto";"Ausgeliehen BM-8-24";"Rented BM-8-24";"Аренда БМ-8-24";"Rented BM-8-24";"Rented BM-8-24";"Kiralık BM-8-24";"租\t借\t BM-8-24";"Rented BM-8-24";"Rented BM-8-24";"Rented BM-8-24";"Rented BM-8-24";"Iznajmljeni BM-8-24";"Bérelt BM-8-24";"Rented BM-8-24";"Пракат БМ-8-24";"Rented BM-8-24";"Rented BM-8-24";"Rented BM-8-24";;
"item/katusha_2017";"BM-13N ""Katusha""";"BM-13N ""Katusha""";"BM-13N ""Katusha""";"BM-13N ""Katusha""";"BM-13N ""Katusha""";"БМ-13Н ""Катюша""";"BM-13N ""Katusha""";"BM-13N Kaťuša";"BM-13N ""Katusha""";"BM-13N\t“\t喀\t秋\t莎\t”";"BM-13N ""Katusha""";"BM-13N ""Katusha""";"BM-13N ""Katusha""";"BM-13N ""Katusha""";"BM-13N ""Kaćuša""";"BM-13N Katyusa";"BM-13N ""카츄샤""";"БМ-13Н «Кацюша»";"BM-13N ""Katusha""";"BM-13N ""Katusha""";"BM-13N ""Katusha""";;
"trophy/test_limitedClass_tournament_trophy";"Access to survey";"Accès au sondage";"Accesso al sondaggio";"Zugang zur Umfrage";"Access to survey";"Доступ к опросу";"Access to survey";"Přístup k průzkumu";"Access to survey";"问\t卷\t调\t查\t资\t格";"Access to survey";"Access to survey";"Access to survey";"Access to survey";"Access to survey";"Felmérés kitöltése";"Access to survey";"Даступ да апытання";"Access to survey";"Access to survey";"Access to survey";;
"trophy/supply_box_air_trophy";"▍ Supply box";"▍ Caisse de ravitaillement";"▍ Supply box";"▍ Versorgungskiste";"▍ Supply box";"▍ Ящик снабжения";"▍ Supply box";"▍ Supply box";"▍ Supply box";"▍\t \t补\t给\t箱";"▍ Supply box";"▍ Supply box";"▍ Supply box";"▍ Supply box";"▍ Supply box";"▍ Supply box";"▍ 보급상자";"▍ Supply box";"▍ Supply box";"▍ Supply box";"▍\t Supply box";;
"trophy/supply_box_tank_trophy";"▔ Supply box";"▔ Caisse de ravitaillement";"▔ Supply box";"▔ Versorgungskiste";"▔ Supply box";"▔ Ящик снабжения";"▔ Supply box";"▔ Supply box";"▔ Supply box";"▔\t \t补\t给\t箱";"▔ Supply box";"▔ Supply box";"▔ Supply box";"▔ Supply box";"▔ Supply box";"▔ Supply box";"▔ 보급상자";"▔ Supply box";"▔ Supply box";"▔ Supply box";"▔\t Supply box";;
"trophy/supply_box_ship_trophy";"┚ Supply box";"┚ Caisse de ravitaillement";"┚ Supply box";"┚ Versorgungskiste";"┚ Supply box";"┚ Ящик снабжения";"┚ Supply box";"┚ Supply box";"┚ Supply box";"┚\t \t补\t给\t箱";"┚ Supply box";"┚ Supply box";"┚ Supply box";"┚ Supply box";"┚ Supply box";"┚ Supply box";"┚ 보급상자";"┚ Supply box";"┚ Supply box";"┚ Supply box";"┚\t Supply box";;
"trophy/02_02_2018_stalingrad_kills_40_ussr_trophy";"▂ ""Battle for Stalingrad"" decals";"▂ Décalcomanies ""Bataille de Stalingrad""";"▂ Decal ""Battaglia per Stalingrado""";"▂ ""Kampf um Stalingrad"" Beschriftungen
";"▂ ""Battle for Stalingrad"" decals";"▂ Декали ""Битва за Сталинград""";"▂ ""Battle for Stalingrad"" decals";"▂ ""Battle for Stalingrad"" decals";"▂ ""Battle for Stalingrad"" decals";"▂\t \t“\t斯\t大\t林\t格\t勒\t战\t役\t”\t贴\t花";"▂ ""Battle for Stalingrad"" decals";"▂ ""Battle for Stalingrad"" decals";"▂ ""Battle for Stalingrad"" decals";"▂ ""Battle for Stalingrad"" decals";"▂ ""Battle for Stalingrad"" decals";"▂ ""Sztálingrádi Csata"" emblémák";"▂ ""스탈린그라드 공방전"" 데칼";"▂ ""Battle for Stalingrad"" decals";"▂ ""Battle for Stalingrad"" decals";"▂ ""Battle for Stalingrad"" decals";"▂\t ""Battle for Stalingrad"" decals";;
"trophy/02_02_2018_stalingrad_kills_40_germany_trophy";"▀ ""Battle for Stalingrad"" decals";"▀ Décalcomanies ""Bataille de Stalingrad""";"▀ Decal ""Battaglia per Stalingrado""";"▀ ""Kampf um Stalingrad"" Beschriftungen
";"▀ ""Battle for Stalingrad"" decals";"▀ Декали ""Битва за Сталинград""";"▀ ""Battle for Stalingrad"" decals";"▀ ""Battle for Stalingrad"" decals";"▀ ""Battle for Stalingrad"" decals";"▀\t \t“\t斯\t大\t林\t格\t勒\t战\t役\t”\t贴\t花";"▀ ""Battle for Stalingrad"" decals";"▀ ""Battle for Stalingrad"" decals";"▀ ""Battle for Stalingrad"" decals";"▀ ""Battle for Stalingrad"" decals";"▀ ""Battle for Stalingrad"" decals";"▀ ""Sztálingrádi Csata"" emblémák";"▀ ""스탈린그라드 공방전"" 데칼";"▀ ""Battle for Stalingrad"" decals";"▀ ""Battle for Stalingrad"" decals";"▀ ""Battle for Stalingrad"" decals";"▀\t ""Battle for Stalingrad"" decals";;
"trophy/friday_13th_trophy";"╒The Slasher’s Trophy╓";"╒Trophée du Slasher╓";"╒Trofeo di Jason╓";"╒Die Schlitzer's Trophy╓";"╒The Slasher’s Trophy╓";"╒Трофей Кромсателя╓";"╒The Slasher’s Trophy╓";"╒The Slasher’s Trophy╓";"╒The Slasher’s Trophy╓";"╒\t“\t无\t情\t杀\t手\t”\t作\t战\t物\t资\t╓";"╒The Slasher’s Trophy╓";"╒The Slasher’s Trophy╓";"╒The Slasher’s Trophy╓";"╒The Slasher’s Trophy╓";"╒The Slasher’s Trophy╓";"╒Mészáros hadizsákmánya╓";"╒The Slasher’s Trophy╓";"╒The Slasher’s Trophy╓";"╒The Slasher’s Trophy╓";"╒The Slasher’s Trophy╓";"╒\tThe Slasher\t’\ts Trophy\t╓";;
"trophy/2018_13_04_friday_13th_all_trophy";"Friday 13th Trophy";"Trophée Vendredi 13";"Friday 13th Trophy";"Freitag, 13. Trophäe";"Friday 13th Trophy";"Пятница 13-е";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";"“\t十\t三\t号\t星\t期\t五\t”\t作\t战\t物\t资";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";"13일의 금요일 트로피";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";;
"trophy/friday_13th_all_shop_trophy";"Friday 13th Trophy";"Trophée Vendredi 13";"Friday 13th Trophy";"Freitag, 13. Trophäe";"Friday 13th Trophy";"Пятница 13-е";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";"“\t十\t三\t号\t星\t期\t五\t”\t作\t战\t物\t资";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";"13일의 금요일 트로피";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";"Friday 13th Trophy";;
"trophy/unlockables_names/inventory";"Coupon";"Coupon";"Coupon";"Coupon";"Coupon";"Купон";"Coupon";"Coupon";"Coupon";"兑\t换\t券";"Coupon";"Coupon";"Coupon";"Coupon";"Coupon";"Coupon";"Coupon";"Coupon";"Coupon";"Coupon";"Coupon";;
"trophy/wipe_booster_trophy";"Compensation for progress wipe";"Compensation pour l'effacement de la progression";"Compensation for progress wipe";"Kompensation für Fortschrittslöschung";"Compensation for progress wipe";"Компенсация за сброс прогресса";"Compensation for progress wipe";"Compensation for progress wipe";"Compensation for progress wipe";"清\t档\t补\t偿\t作\t战\t物\t资";"Compensation for progress wipe";"Compensation for progress wipe";"Compensation for progress wipe";"Compensation for progress wipe";"Compensation for progress wipe";"Compensation for progress wipe";"Compensation for progress wipe";"Compensation for progress wipe";"Compensation for progress wipe";"Compensation for progress wipe";"Compensation for progress wipe";;
"trophy/2019_tankers_day_decor_trophy";"Decorators ""Star"" or ""Headset""";"Décoration ""Etoile"" ou ""Casque radio""";"Decorators ""Star"" or ""Headset""";"Dekoration ""Star"" oder ""Headset";"Decorators ""Star"" or ""Headset""";"Декоратор ""Звезда"" или ""Шлемофон""";"Decorators ""Star"" or ""Headset""";"Decorators ""Star"" or ""Headset""";"Decorators ""Star"" or ""Headset""";"“\t红\t星\t”\t/\t“\t坦\t克\t帽\t”\t装\t饰\t挂\t件";"Decorators ""Star"" or ""Headset""";"Decorators ""Star"" or ""Headset""";"Decorators ""Star"" or ""Headset""";"Decorators ""Star"" or ""Headset""";"Decorators ""Star"" or ""Headset""";"Decorators ""Star"" or ""Headset""";"Decorators ""Star"" or ""Headset""";"Decorators ""Star"" or ""Headset""";"Decorators ""Star"" or ""Headset""";"Decorators ""Star"" or ""Headset""";"Decorators ""Star"" or ""Headset""";;
"trophy/random_discount_2_rank_aircraft";"Random discount for rank 2 premium aircraft";"Remise aléatoire pour avion premium de rang 2";"Random discount for rank 2 premium aircraft";"Zufälliger Rabatt für ein Premium-Flugzeug auf Rang II";"Random discount for rank 2 premium aircraft";"Скидка на премиумный самолёт 2 ранга";"Random discount for rank 2 premium aircraft";"Random discount for rank 2 premium aircraft";"Random discount for rank 2 premium aircraft";"II \t级\t高\t级\t飞\t行\t载\t具\t随\t机\t折\t扣";"Random discount for rank 2 premium aircraft";"Random discount for rank 2 premium aircraft";"Random discount for rank 2 premium aircraft";"Random discount for rank 2 premium aircraft";"Random discount for rank 2 premium aircraft";"Random discount for rank 2 premium aircraft";"2랭크 프리미엄 항공기 랜덤 할인";"Random discount for rank 2 premium aircraft";"Random discount for rank 2 premium aircraft";"Random discount for rank 2 premium aircraft";"Random discount for rank 2 premium aircraft";;
"trophy/ace_way_tournament_trophy_stage_1";"Ace trophy";"Trophée As";"Ace trophy";"Ass-Trophäe";"Ace trophy";"Трофей Аса";"Ace trophy";"Ace trophy";"Ace trophy";"“\t王\t牌\t”\t作\t战\t物\t资";"Ace trophy";"Ace trophy";"Ace trophy";"Ace trophy";"Ace trophy";"Ace trophy";"에이스 트로피";"Ace trophy";"Ace trophy";"Ace trophy";"Ace trophy";;
"trophy/random_discount_3_rank_aircraft";"Random discount for rank 3 premium aircraft";"Remise aléatoire pour un avion premium de rang 3";"Random discount for rank 3 premium aircraft";"Zufälliger Rabatt für ein Premium-Flugzeug auf Rang III";"Random discount for rank 3 premium aircraft";"Скидка на премиумный самолёт 3 ранга";"Random discount for rank 3 premium aircraft";"Random discount for rank 3 premium aircraft";"Random discount for rank 3 premium aircraft";"III \t级\t高\t级\t飞\t行\t载\t具\t随\t机\t折\t扣";"Random discount for rank 3 premium aircraft";"Random discount for rank 3 premium aircraft";"Random discount for rank 3 premium aircraft";"Random discount for rank 3 premium aircraft";"Random discount for rank 3 premium aircraft";"Random discount for rank 3 premium aircraft";"3랭크 프리미엄 항공기 랜덤 할인";"Random discount for rank 3 premium aircraft";"Random discount for rank 3 premium aircraft";"Random discount for rank 3 premium aircraft";"Random discount for rank 3 premium aircraft";;
"trophy/random_discount_3_rank_tanks";"Random discount for rank 3 premium tank";"Remise aléatoire pour un char premium de rang 3";"Random discount for rank 3 premium tank";"Zufälliger Rabatt für einen Premium-Panzer auf Rang III";"Random discount for rank 3 premium tank";"Скидка на премиумный танк 3 ранга";"Random discount for rank 3 premium tank";"Random discount for rank 3 premium tank";"Random discount for rank 3 premium tank";"III \t级\t高\t级\t地\t面\t载\t具\t随\t机\t折\t扣";"Random discount for rank 3 premium tank";"Random discount for rank 3 premium tank";"Random discount for rank 3 premium tank";"Random discount for rank 3 premium tank";"Random discount for rank 3 premium tank";"Random discount for rank 3 premium tank";"3랭크 프리미엄 전차 랜덤 할인";"Random discount for rank 3 premium tank";"Random discount for rank 3 premium tank";"Random discount for rank 3 premium tank";"Random discount for rank 3 premium tank";;
"trophy/tournament_tactic_trophy";"Tactical trophy";"Trophée tactique";"Tactical trophy";"Taktische Trophäe";"Tactical trophy";"Трофей тактика";"Tactical trophy";"Tactical trophy";"Tactical trophy";"“\t战\t术\t支\t援\t”\t作\t战\t物\t资";"Tactical trophy";"Tactical trophy";"Tactical trophy";"Tactical trophy";"Tactical trophy";"Tactical trophy";"전술 트로피";"Tactical trophy";"Tactical trophy";"Tactical trophy";"Tactical trophy";;
"trophy/pokryshkin_trophy";"Pokryshkin’s Trophy";"Trophée de Pokryshkin";"Pokryshkin’s Trophy";"Pokryshkin-Trophäe";"Pokryshkin’s Trophy";"Трофей Покрышкина";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"波\t克\t雷\t什\t金\t作\t战\t物\t资";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"포크리쉬킨 트로피";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin\t’\ts Trophy";;
"item/pokryshkin_trophy";"Pokryshkin’s Trophy";"Trophée de Pokryshkin";"Pokryshkin’s Trophy";"Pokryshkin-Trophäe";"Pokryshkin’s Trophy";"Трофей Покрышкина";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"波\t克\t雷\t什\t金\t作\t战\t物\t资";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"포크리쉬킨 트로피";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin\t’\ts Trophy";;
"item/discount_50_p-39n_su";"Pokryshkin’s Trophy";"Trophée de Pokryshkin";"Pokryshkin’s Trophy";"Pokryshkin-Trophäe";"Pokryshkin’s Trophy";"Трофей Покрышкина";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"波\t克\t雷\t什\t金\t作\t战\t物\t资";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"포크리쉬킨 트로피";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin\t’\ts Trophy";;
"item/discount_20_p-39n_su";"Pokryshkin’s Trophy";"Trophée de Pokryshkin";"Pokryshkin’s Trophy";"Pokryshkin-Trophäe";"Pokryshkin’s Trophy";"Трофей Покрышкина";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"波\t克\t雷\t什\t金\t作\t战\t物\t资";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"포크리쉬킨 트로피";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin’s Trophy";"Pokryshkin\t’\ts Trophy";;
"trophy/castle_trophy";"""My home is my castle!"" Trophy";"Trophée ""Ma maison est mon château!""";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophäe";"""My home is my castle!"" Trophy";"Трофей ""Мой дом — моя крепость!""";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"“\t家\t就\t是\t我\t的\t温\t馨\t城\t堡\t！\t”\t作\t战\t物\t资";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""나의 집은 나의 요새!"" 트로피";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";;
"trophy/event_trophy_dmm_winter_2020";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Récompenses des accomplissements";"DMM GAMES FESTIVAL Achievement Rewards";"Belohnungen für DMM GAMES FESTIVAL";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";"DMM \t游\t戏\t节\t成\t就\t奖\t励";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";"DMM GAMES FESTIVAL Achievement Rewards";;
"item/booster_castle_name";"Booster ""My home is my castle!""";"Booster ""Ma maison est mon château!""";"Booster ""My home is my castle!""";"Booster ""My home is my castle!""";"Booster ""My home is my castle!""";"Усилитель ""Мой дом — моя крепость!""";"Booster ""My home is my castle!""";"Booster ""My home is my castle!""";"Booster ""My home is my castle!""";"“\t家\t就\t是\t我\t的\t温\t馨\t城\t堡\t！\t”\t增\t益\t方\t案";"Booster ""My home is my castle!""";"Booster ""My home is my castle!""";"Booster ""My home is my castle!""";"Booster ""My home is my castle!""";"Booster ""My home is my castle!""";"Booster ""My home is my castle!""";"""나의 집은 나의 요새!"" 부스터";"Booster ""My home is my castle!""";"Booster ""My home is my castle!""";"Booster ""My home is my castle!""";"Booster ""My home is my castle!""";;
"userlog/castle_trophy";"""My home is my castle!"" Trophy";"Trophée ""Ma maison est mon château!""";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophäe";"""My home is my castle!"" Trophy";"Трофей ""Мой дом — моя крепость!""";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"“\t家\t就\t是\t我\t的\t温\t馨\t城\t堡\t！\t”\t作\t战\t物\t资";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""나의 집은 나의 요새!"" 트로피";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";"""My home is my castle!"" Trophy";;
"charServer/entitlement/jpn_pacific_41_43";"Japanese Pacific Campaign (1941-1942)";"Campagne japonaise du Pacifique (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanische Pazifikkampagne (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Тихоокеанская кампания за Японию (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"日\t本\t太\t平\t洋\t战\t役\t（\t1941 - 1942\t）";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";"Japanese Pacific Campaign (1941-1942)";;
"charServer/entitlement/usa_pacific_41_43";"USA Pacific Campaign (1941-1942)";"Campagne américaine du Pacifique (1941-1942)";"USA Pacific Campaign (1941-1942)";"US-Pazifikkampagne (1941-1942)";"USA Pacific Campaign (1941-1942)";"Тихоокеанская кампания за США (1941-1942)";"USA Pacific Campaign (1941-1942)";"USA Pacific Campaign (1941-1942)";"USA Pacific Campaign (1941-1942)";"美\t国\t太\t平\t洋\t战\t役\t（\t1941 - 1942\t）";"USA Pacific Campaign (1941-1942)";"USA Pacific Campaign (1941-1942)";"USA Pacific Campaign (1941-1942)";"USA Pacific Campaign (1941-1942)";"USA Pacific Campaign (1941-1942)";"USA Pacific Campaign (1941-1942)";"USA Pacific Campaign (1941-1942)";"USA Pacific Campaign (1941-1942)";"USA Pacific Campaign (1941-1942)";"USA Pacific Campaign (1941-1942)";"USA Pacific Campaign (1941-1942)";;
"charServer/entitlement/dora_starter_pack_2014";"Dora Pack";"Pack Dora";"Dora Pack";"Dora Paket";"Dora Pack";"Набор Дора";"Dora Pack";"Dora Pack";"Dora Pack";"“\t多\t拉\t”\t礼\t包";"Dora Pack";"Dora Pack";"Dora Pack";"Dora Pack";"Dora Pack";"Dora Pack";"Dora Pack";"Dora Pack";"Dora Pack";"Dora Pack";"Dora Pack";;
"charServer/entitlement/wop_starter_pack_mustang_gift";"Mustang Pack";"Pack Mustang";"Mustang Pack";"Mustang Paket";"Mustang Pack";"Набор Мустанг";"Mustang Pack";"Mustang Pack";"Mustang Pack";"“\t野\t马\t”\t礼\t包";"Mustang Pack";"Mustang Pack";"Mustang Pack";"Mustang Pack";"Mustang Pack";"Mustang Pack";"Mustang Pack";"Mustang Pack";"Mustang Pack";"Mustang Pack";"Mustang Pack";;
"charServer/entitlement/wop_starter_pack_11";"Scout Pack";"Pack Scout";"Scout Pack";"Aufklärer Paket";"Scout Pack";"Набор Разведчик";"Scout Pack";"Scout Pack";"Scout Pack";"“\t侦\t察\t兵\t”\t礼\t包";"Scout Pack";"Scout Pack";"Scout Pack";"Scout Pack";"Scout Pack";"Scout Pack";"Scout Pack";"Scout Pack";"Scout Pack";"Scout Pack";"Scout Pack";;
"charServer/entitlement/king_tiger_pack";"King Tiger Pack";"Pack King Tiger";"King Tiger Pack";"Königstiger Paket";"King Tiger Pack";"Набор Королевский Тигр";"King Tiger Pack";"King Tiger Pack";"King Tiger Pack";"“\t虎\t王\t”\t礼\t包\t ";"King Tiger Pack";"King Tiger Pack";"King Tiger Pack";"King Tiger Pack";"King Tiger Pack";"King Tiger Pack";"King Tiger Pack";"King Tiger Pack";"King Tiger Pack";"King Tiger Pack";"King Tiger Pack";;
"charServer/entitlement/wyvern_release_pack";"Wyvern Pack";"Pack Wyvern";"Wyvern Pack";"Wyvern Paket";"Wyvern Pack";"Набор Виверна";"Wyvern Pack";"Wyvern Pack";"Wyvern Pack";"“\t飞\t龙\t”\t礼\t包";"Wyvern Pack";"Wyvern Pack";"Wyvern Pack";"Wyvern Pack";"Wyvern Pack";"Wyvern Pack";"Wyvern Pack";"Wyvern Pack";"Wyvern Pack";"Wyvern Pack";"Wyvern Pack";;
"charServer/entitlement/wt_release_m4a1_fl10";"M4A1 FL10 Pack";"Pack M4A1 FL10";"M4A1 FL10 Pack";"M4A1 FL10 Paket";"M4A1 FL10 Pack";"Набор M4A1 FL10";"M4A1 FL10 Pack";"M4A1 FL10 Pack";"M4A1 FL10 Pack";"M4A1 (FL 10) \t礼\t包";"M4A1 FL10 Pack";"M4A1 FL10 Pack";"M4A1 FL10 Pack";"M4A1 FL10 Pack";"M4A1 FL10 Pack";"M4A1 FL10 Pack";"M4A1 FL10 Pack";"M4A1 FL10 Pack";"M4A1 FL10 Pack";"M4A1 FL10 Pack";"M4A1 FL10 Pack";;
